'Ben Webster','Chelsea Bridge'
'Limp Bizkit','Nookie'
'Nirvana','Aneurysm'
'Fleetwood Mac','Landslide'
'Paul McCartney','Jet'
'Frank Sinatra','It Was a Very Good Year'
'George Harrison','All Things Must Pass'
'Django Reinhardt','I Got Rhythm'
'Morrissey','I Know It''''s Gonna Happen Someday'
'Led Zeppelin','The Rain Song'
'John Prine','Angel from Montgomery'
'Pixies','Here Comes Your Man'
'Miles Davis','Mr. Pastorius'
'The Troggs','Wild Thing'
'Fred Neil','Everybody''''s Talkin'''''
'The Police','Every Breath You Take'
'My Bloody Valentine','Soon'
'Squeeze','Another Nail in My Heart'
'Sugar Ray','Fly'
'Bourgeois Tagg','I Don''''t Mind at All'
'The Clash','Complete Control'
'Gordon Lightfoot','The Wreck of the Edmund Fitzgerald'
'The Sugarcubes','Birthday'
'Lee Dorsey','Ride Your Pony'
'Billy Boy Arnold','I Ain''''t Got You'
'Guided by Voices','I Am a Scientist'
'Ol'''' Dirty Bastard','Brooklyn Zoo'
'The Coasters','Along Came Jones'
'Ike & Tina Turner','Proud Mary'
'Bob Dylan',"'""Don''''t Think Twice'"
'Harry Nilsson','Everybody''''s Talkin'''''
'Otis Redding','Try a Little Tenderness'
'Bikini Kill','Rebel Girl'
'Don Williams','I Believe in You'
'Culture Club','I''''ll Tumble 4 Ya'
'Bob Dylan','Man in the Long Black Coat'
'Green Day','Longview'
'Barenaked Ladies','One Week'
'Pixies','Monkey Gone to Heaven'
'Meat Loaf','You Took the Words Right Out of My Mouth (Hot Summer Night)'
'Lindsey Buckingham','Go Insane'
'Belle & Sebastian','Seeing Other People'
'Grandmaster Flash','White Lines (Don''''t Don''''t Do It)'
'Derek & the Dominos','Bell Bottom Blues'
'Hall & Oates','Say It Isn''''t So'
'The Real Kids','All Kindsa Girls'
'Swans','Raping a Slave'
'Muddy Waters','Mannish Boy'
'Accept','Balls to the Wall'
'Ween','I Can''''t Put My Finger on It'
'Miles Davis','I Fall in Love Too Easily'
'Bruce Springsteen','Promised Land'
'Harpers Bizarre','The 59th Street Bridge Song (Feelin'''' Groovy)'
'Altered Images','Happy Birthday'
'Kid Rock','I Am the Bullgod'
'Tony Burrows','Beach Baby'
'The Jam','Start!'
'White Zombie','More Human Than Human'
'Thelonious Monk','In Walked Bud'
'Miles Davis','Spanish Key'
'Fishbone','Party at Ground Zero'
'Chicago','If You Leave Me Now'
'Weezer','Buddy Holly'
'Lefty Frizzell',"'""Saginaw'"
'Eddie Cochran','Twenty Flight Rock'
'Pet Shop Boys','Suburbia'
'Bobby Bare','The All American Boy'
'Rod Stewart','Handbags & Gladrags'
'Weezer','The Good Life'
'Uncle Tupelo','Chickamauga'
'They Might Be Giants','They''''ll Need a Crane'
'Frank Sinatra','Fools Rush In'
'Seals & Crofts','Summer Breeze'
'The Ramones','Rockaway Beach'
'Gipsy Kings','Bamboleo'
'Pere Ubu','30 Seconds Over Tokyo'
'Monty Python','Lumberjack Song'
'Faces','You''''re So Rude'
'The Everly Brothers','Claudette'
'The Moody Blues','Nights in White Satin'
'Shirley & Lee','Let the Good Times Roll'
'Fatboy Slim','Praise You'
'The Specials','Nite Klub'
'The Tubes','White Punks on Dope'
'Pavement','Summer Babe'
'The Turtles','Happy Together'
'The Jesus and Mary Chain','Blues from a Gun'
'Mary Lou Lord','Subway'
'PJ Harvey','Man-Size'
'Frank Sinatra','How Deep Is the Ocean'
'Donna Summer','Love to Love You Baby'
'Carole King','It''''s Too Late'
'The Coasters','Little Egypt'
'Spike Jones','Cocktails for Two'
'David Bowie','The Bewlay Brothers'
'Bruce Channel','Hey! Baby'
'John Coltrane','Lush Life'
'John Lennon','Working Class Hero'
'Phil Collins','Sussudio'
'Howlin'''' Wolf','Evil'
'Andrew Gold','Thank You for Being a Friend'
'This Mortal Coil','You and Your Sister'
'Radiohead','Lucky'
'The Soft Boys','Positive Vibrations'
'Brian Eno','1/1'
'Jimi Hendrix','Purple Haze'
'Ray Charles','She''''s on the Ball'
'Moby Grape','Hey Grandma'
'Big Audio Dynamite','The Globe'
'Carole King','(You Make Me Feel Like) A Natural Woman'
'Harry Chapin','Taxi'
'The Jayhawks','Waiting for the Sun'
'Little Feat','Hate to Lose Your Lovin'''''
'Sam Phillips','Baby I Can''''t Please You'
'The Strokes','Hard to Explain'
'Little Feat','Willin'''''
'Los Dandy''''s','Como un Duende'
'The Rolling Stones','Heart of Stone'
'Canned Heat','Going Up the Country'
'James Brown','Super Bad'
'Creedence Clearwater Revival','Fortunate Son'
'The Flying Burrito Brothers','Lazy Days'
'Dizzy Gillespie','Groovin'''' High'
'The Clash','Garageland'
'Sandie Shaw','(There''''s) Always Something There to Remind Me'
'New Order','Bizarre Love Triangle'
'Wreckless Eric','Whole Wide World'
'Moby','Natural Blues'
'Gilbert O''''Sullivan','Alone Again (Naturally)'
'Lee Dorsey','Working in the Coal Mine'
'The Replacements','Here Comes a Regular'
'The Boo Radleys','It''''s Lulu'
'The Band','Across the Great Divide'
'Frank Sinatra','The Christmas Waltz'
'Ol'''' Dirty Bastard','Shimmy Shimmy Ya'
'Hot Chocolate','You Sexy Thing'
'Dee Clark','Hey Little Girl'
'R.E.M.','Everybody Hurts'
'Gang of Four','To Hell With Poverty!'
'Bruce Springsteen','State Trooper'
'Kenny Rogers','Lady'
'Albert Ayler','The Truth Is Marching In'
'The Jam','In the City'
'The Animals','The House of the Rising Sun'
'Mudhoney','Touch Me I''''m Sick'
'Dead Boys','Sonic Reducer'
'Paul McCartney','Band on the Run'
'Ella Fitzgerald','Black Coffee'
'Jimi Hendrix','Fire'
'Portishead','Sour Times'
'Bob Dylan','Mr. Tambourine Man'
'Bob Marley','Is This Love'
'Vince Guaraldi','Linus and Lucy'
'Bob Dylan','Tangled Up in Blue'
'Peter Sellers','A Hard Day''''s Night'
'Bob Dylan',"'It''''s All over Now, Baby Blue'"
'Belle & Sebastian','It Could Have Been a Brilliant Career'
